School,Address,Rating,Type,Enrollment,Students per Teacher,,,,
Meadow Hall Elementary,"951 Twinbrook Parkway, Rockville, MD, 20851",4,E,431,10,,,,
Rolling Terrace Elementary,"705 Bayfield Street, Takoma Park, MD, 20912",4,E,798,12,,,,
South Lake Elementary,"18201 Contour Road, Gaithersburg, MD, 20877",4,E,831,12,,,,
Stedwick Elementary,"10631 Stedwick Road, Montgomery Village, MD, 20886",4,E,583,13,,,,
Summit Hall Elementary,"101 West Deer Park Road, Gaithersburg, MD, 20877",4,E,672,11,,,,
Twinbrook Elementary,"5911 Ridgway Avenue, Rockville, MD, 20851",4,E,582,11,,,,
Watkins Mill Elementary,"19001 Watkins Mill Rd, Montgomery Village, MD, 20886",4,E,700,11,,,,
Flower Hill Elementary,"18425 Flower Hill Way, Gaithersburg, MD, 20879",4,E,456,12,,,,
Clopper Mill Elementary,"18501 Cinnamon Drive, Germantown, MD, 20874",4,E,562,12,,,,
Georgian Forest Elementary,"3100 Regina Drive, Silver Spring, MD, 20906",3,E,655,13,,,,
Harmony Hills Elementary,"13407 Lydia Street, Silver Spring, MD, 20906",3,E,716,12,,,,
Rock View Elementary,"3901 Denfeld Avenue, Kensington, MD, 20895",3,E,698,11,,,,
Captain James E. Daly Elementary,"20301 Brandermill Drive, Germantown, MD, 20876",3,E,585,12,,,,
Roscoe R Nix Elementary,"1100 Corliss Street, Silver Spring, MD, 20903",,E,506,11,,,,
Bayard Rustin Elementary,"322 West Edmonston Drive, Rockville, MD, 20852",,E,600,,,,,
Bel Pre Elementary,"13801 Rippling Brook Drive, Silver Spring, MD, 20906",,E,586,12,,,,
Montgomery Knolls Elementary,"807 Daleview Drive, Silver Spring, MD, 20901",,E,489,11,,,,
New Hampshire Estates Elementary,"8720 Carroll Avenue, Silver Spring, MD, 20903",,E,442,10,,,,
Rosemary Hills Elementary,"2111 Porter Road, Silver Spring, MD, 20910",,E,559,14,,,,
Takoma Park Elementary,"7511 Holly Avenue, Takoma Park, MD, 20912",,E,641,13,,,,
Herbert Hoover Middle,"8810 Post Oak Rd, Potomac, MD, 20854",9,M,1043,15,,,,
Robert Frost Middle School,"9201 Scott Drive, Rockville, MD, 20850",9,M,1074,17,,,,
Thomas W. Pyle Middle School,"6311 Wilson Lane, Bethesda, MD, 20817",9,M,1530,16,,,,
John H. Poole Middle,"17014 Tom Fox Avenue, Poolesville, MD, 20837",8,M,395,13,,,,
Westland Middle,"5511 Massachusetts Avenue, Bethesda, MD, 20816",8,M,770,14,,,,
William H. Farquhar Middle,"17017 Batchellors Forest Road, Olney, MD, 20832",8,M,705,15,,,,
Cabin John Middle School,"10701 Gainsborough Road, Potomac, MD, 20854",8,M,1023,15,,,,
North Bethesda Middle,"8935 Bradmoor Drive, Bethesda, MD, 20817",7,M,1163,17,,,,
Hallie Wells Middle School,"11701 Little Seneca Parkway, Clarksburg, MD, 20871",7,M,792,14,,,,
Rosa M. Parks Middle,"19200 Olney Mill Road, Olney, MD, 20832",7,M,826,16,,,,
Rocky Hill Middle,"22401 Brick Haven Way, Clarksburg, MD, 20871",7,M,844,14,,,,
Kingsview Middle,"18909 Kingsview Road, Germantown, MD, 20874",7,M,996,16,,,,
Takoma Park Middle School,"7611 Piney Branch Rd, Silver Spring, MD, 20910",7,M,1107,16,,,,
Tilden Middle School,"11211 Old Georgetown Road, Rockville, MD, 20852",7,M,989,15,,,,
