Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
21012,24,2421012,B5,G6350,S,"21,012.00",24,"25,280,394.00","7,074,380.00","21,317.00","8,140.00","18,572.00",940,38,503,6,34,415,809,87.1,4.4,0.2,2.4,0,0.2,1.9,3.8,"2,597.00",12.2,41.3,265,3.3,70.2,17.5,14.9,20,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21012.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21012.pdf
21013,24,2421013,B5,G6350,S,"21,013.00",24,"39,130,829.00","70,909.00","4,653.00","1,743.00","4,443.00",22,3,57,0,7,33,88,95.5,0.5,0.1,1.2,0,0.2,0.7,1.9,857,18.4,48.1,49,2.8,65.2,31.4,4.9,11.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21013.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21013.pdf
21014,24,2421014,B5,G6350,S,"21,014.00",24,"36,477,493.00","188,391.00","36,047.00","14,355.00","32,060.00","1,457.00",37,821,11,31,543,"1,087.00",88.9,4,0.1,2.3,0,0.1,1.5,3,"5,229.00",14.5,40.7,590,4.1,60.3,23.2,21.6,20.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21014.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21014.pdf
21015,24,2421015,B5,G6350,S,"21,015.00",24,"80,085,894.00","562,623.00","27,763.00","10,221.00","24,068.00","1,371.00",37,"1,074.00",13,25,400,775,86.7,4.9,0.1,3.9,0,0.1,1.4,2.8,"3,327.00",12,40.1,350,3.4,69.9,20.1,12.5,17.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21015.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21015.pdf
21017,24,2421017,B5,G6350,S,"21,017.00",24,"7,134,553.00","6,770.00","7,062.00","2,880.00","4,338.00","1,743.00",22,270,2,20,228,439,61.4,24.7,0.3,3.8,0,0.3,3.2,6.2,469,6.6,33,130,4.5,63.6,7.5,31.2,32.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21017.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21017.pdf
21028,24,2421028,B5,G6350,S,"21,028.00",24,"35,213,245.00","136,396.00","3,460.00","1,296.00","3,123.00",132,10,54,6,3,48,84,90.3,3.8,0.3,1.6,0.2,0.1,1.4,2.4,615,17.8,45.6,59,4.6,60.6,32,10.9,12.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21028.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21028.pdf
21029,24,2421029,B5,G6350,S,"21,029.00",24,"41,304,709.00","536,674.00","11,333.00","3,515.00","7,154.00",665,6,"2,893.00",1,23,320,271,63.1,5.9,0.1,25.5,0,0.2,2.8,2.4,935,8.3,41.7,82,2.3,79,15.3,6.7,9.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21029.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21029.pdf
21030,24,2421030,B5,G6350,S,"21,030.00",24,"61,585,318.00","1,246,811.00","24,355.00","10,994.00","15,773.00","3,374.00",46,"2,920.00",2,69,548,"1,623.00",64.8,13.9,0.2,12,0,0.3,2.3,6.7,"3,089.00",12.7,37.5,695,6.3,34.5,26.3,53.2,29.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21030.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21030.pdf
21031,24,2421031,B5,G6350,S,"21,031.00",24,"2,515,565.00",0,4,2,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,100,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21031.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21031.pdf
21032,24,2421032,B5,G6350,S,"21,032.00",24,"45,682,249.00","4,493,846.00","8,848.00","3,488.00","7,821.00",470,19,124,14,7,169,224,88.4,5.3,0.2,1.4,0.2,0.1,1.9,2.5,"1,153.00",13,44.5,129,3.7,70.4,20.7,11.2,18.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21032.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21032.pdf
