Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
21531,24,2421531,B5,G6350,S,"21,531.00",24,"160,031,728.00","2,472,012.00","2,227.00","1,278.00","2,183.00",4,6,3,0,0,18,13,98,0.2,0.3,0.1,0,0,0.8,0.6,384,17.2,44.1,127,9.9,38.2,49.3,24.6,25.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21531.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21531.pdf
21532,24,2421532,B5,G6350,S,"21,532.00",24,"201,557,315.00","491,015.00","15,620.00","6,425.00","13,803.00","1,154.00",15,188,6,11,190,253,88.4,7.4,0.1,1.2,0,0.1,1.2,1.6,"2,375.00",15.2,30.5,495,7.7,36.1,42.5,37.2,29.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21532.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21532.pdf
21536,24,2421536,B5,G6350,S,"21,536.00",24,"257,799,183.00","251,375.00","4,121.00","1,890.00","4,016.00",35,6,7,0,0,24,33,97.5,0.8,0.1,0.2,0,0,0.6,0.8,733,17.8,41.2,119,6.3,40.2,45.5,26.2,24.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21536.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21536.pdf
21538,24,2421538,B5,G6350,S,"21,538.00",24,"46,293,462.00","530,742.00",716,358,711,0,1,0,0,0,2,2,99.3,0,0.1,0,0,0,0.3,0.3,125,17.5,41.2,52,14.5,36.1,57,16.1,24.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21538.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21538.pdf
21539,24,2421539,B5,G6350,S,"21,539.00",24,"89,834,282.00","70,929.00","2,819.00","1,240.00","2,744.00",36,0,4,1,0,22,12,97.3,1.3,0,0.1,0,0,0.8,0.4,555,19.7,41.6,125,10.1,36.4,49.8,27.4,30.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21539.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21539.pdf
21540,24,2421540,B5,G6350,S,"21,540.00",24,"698,918.00","111,224.00",65,61,61,0,0,0,0,0,0,4,93.8,0,0,0,0,0,0,6.2,22,33.8,48.5,28,45.9,18.2,71.4,36.4,50,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21540.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21540.pdf
21541,24,2421541,B5,G6350,S,"21,541.00",24,"68,154,240.00","3,219,605.00","1,546.00","2,293.00","1,402.00",98,4,11,0,0,9,22,90.7,6.3,0.3,0.7,0,0,0.6,1.4,229,14.8,42.1,221,9.6,39.5,39.1,35.2,27.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21541.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21541.pdf
21542,24,2421542,B5,G6350,S,"21,542.00",24,"1,772,593.00",0,483,229,474,1,0,0,0,0,4,4,98.1,0.2,0,0,0,0,0.8,0.8,95,19.7,42.9,25,10.9,37.6,46.9,29.2,37.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21542.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21542.pdf
21543,24,2421543,B5,G6350,S,"21,543.00",24,"3,524,518.00",868,140,61,138,0,0,1,0,0,1,0,98.6,0,0,0.7,0,0,0.7,0,27,19.3,47.3,5,8.2,49.1,48.1,5.5,42.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21543.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21543.pdf
21545,24,2421545,B5,G6350,S,"21,545.00",24,"37,234,974.00","21,107.00","1,940.00",868,"1,889.00",10,2,1,0,0,22,16,97.4,0.5,0.1,0.1,0,0,1.1,0.8,345,17.8,43.2,81,9.3,49.4,42.5,14.1,19.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21545.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21545.pdf
21550,24,2421550,B5,G6350,S,"21,550.00",24,"526,785,492.00","6,822,965.00","14,194.00","8,203.00","13,902.00",54,14,38,0,1,89,96,97.9,0.4,0.1,0.3,0,0,0.6,0.7,"2,552.00",18,43.1,510,6.2,43.9,41.9,24.5,28.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21550.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21550.pdf
21555,24,2421555,B5,G6350,S,"21,555.00",24,"274,428,331.00","5,883,176.00","1,936.00","1,054.00","1,879.00",11,4,2,0,0,17,23,97.1,0.6,0.2,0.1,0,0,0.9,1.2,338,17.5,45.9,73,6.9,47.9,42.9,16.1,24.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21555.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21555.pdf
21557,24,2421557,B5,G6350,S,"21,557.00",24,"69,760,972.00","1,235,041.00","1,895.00",876,"1,849.00",7,2,12,1,1,14,9,97.6,0.4,0.1,0.6,0.1,0.1,0.7,0.5,395,20.8,45.8,62,7.1,47.7,44.8,13.6,28.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21557.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21557.pdf
21561,24,2421561,B5,G6350,S,"21,561.00",24,"240,038,317.00","8,669,494.00","2,627.00","2,699.00","2,567.00",40,0,5,0,1,6,8,97.7,1.5,0,0.2,0,0,0.2,0.3,524,19.9,46.4,167,6.2,45.9,48,11.8,20.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21561.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21561.pdf
21562,24,2421562,B5,G6350,S,"21,562.00",24,"75,067,999.00","481,011.00","3,141.00","1,536.00","3,087.00",17,0,3,0,1,22,11,98.3,0.5,0,0.1,0,0,0.7,0.4,724,23,45.4,234,15.2,38.2,49.3,24.6,31.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21562.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21562.pdf
21601,24,2421601,B5,G6350,S,"21,601.00",24,"283,350,581.00","53,718,770.00","23,597.00","11,292.00","17,595.00","3,376.00",33,387,13,55,353,"1,785.00",74.6,14.3,0.1,1.6,0.1,0.2,1.5,7.6,"5,367.00",22.7,45.1,849,7.5,45.9,31.8,32.7,34.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21601.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21601.pdf
21607,24,2421607,B5,G6350,S,"21,607.00",24,"47,395,591.00",0,583,236,476,49,5,0,0,0,7,46,81.6,8.4,0.9,0,0,0,1.2,7.9,62,10.6,40.1,27,11.4,56.5,29.5,19.8,24.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21607.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21607.pdf
21610,24,2421610,B5,G6350,S,"21,610.00",24,"4,580,667.00","3,630,895.00",378,347,343,13,3,2,0,0,7,10,90.7,3.4,0.8,0.5,0,0,1.9,2.6,63,16.7,47.4,17,4.9,41.9,37.4,33.1,39.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21610.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21610.pdf
21612,24,2421612,B5,G6350,S,"21,612.00",24,"14,905,132.00","16,436,690.00",492,377,475,5,1,0,0,0,5,6,96.5,1,0.2,0,0,0,1,1.2,162,32.9,57.6,26,6.9,50.2,44.9,8.9,12.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21612.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21612.pdf
21613,24,2421613,B5,G6350,S,"21,613.00",24,"402,573,173.00","103,610,844.00","17,330.00","8,985.00","9,916.00","6,128.00",60,198,8,20,324,676,57.2,35.4,0.3,1.1,0,0.1,1.9,3.9,"3,146.00",18.2,42.4,"1,078.00",12,35.9,37.7,42.4,57.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21613.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21613.pdf
21617,24,2421617,B5,G6350,S,"21,617.00",24,"283,247,829.00","23,067,121.00","9,907.00","3,897.00","8,616.00",751,31,98,1,8,157,245,87,7.6,0.3,1,0,0.1,1.6,2.5,"1,470.00",14.8,40.6,274,7,64.7,21,18.1,19.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21617.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21617.pdf
21619,24,2421619,B5,G6350,S,"21,619.00",24,"24,230,812.00","25,316,223.00","5,848.00","2,715.00","5,155.00",351,19,68,0,3,89,163,88.1,6,0.3,1.2,0,0.1,1.5,2.8,957,16.4,44.4,138,5.1,64.3,18.2,21.4,31.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21619.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21619.pdf
21620,24,2421620,B5,G6350,S,"21,620.00",24,"302,566,585.00","43,718,996.00","12,853.00","6,159.00","9,950.00","2,092.00",20,126,4,16,211,434,77.4,16.3,0.2,1,0,0.1,1.6,3.4,"2,819.00",21.9,43.9,574,9.3,44.9,34.2,31.7,36.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21620.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21620.pdf
21622,24,2421622,B5,G6350,S,"21,622.00",24,"140,619,350.00","32,322,110.00",558,354,483,54,2,1,0,0,5,13,86.6,9.7,0.4,0.2,0,0,0.9,2.3,141,25.3,50.2,48,13.6,42.4,46.1,21.2,30,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21622.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21622.pdf
21623,24,2421623,B5,G6350,S,"21,623.00",24,"97,170,955.00","1,918,126.00","2,111.00",816,"1,654.00",278,7,17,0,1,41,113,78.4,13.2,0.3,0.8,0,0,1.9,5.4,231,10.9,38.5,74,9.1,57.3,25.4,23.2,22.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21623.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21623.pdf
21624,24,2421624,B5,G6350,S,"21,624.00",24,"2,862,461.00","6,179,583.00",143,99,142,1,0,0,0,0,0,0,99.3,0.7,0,0,0,0,0,0,36,25.2,52.2,5,5.1,37.7,55.2,15.9,40,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21624.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21624.pdf
21625,24,2421625,B5,G6350,S,"21,625.00",24,"108,023,258.00","1,497,078.00","2,719.00","1,083.00","2,333.00",271,2,11,0,4,40,58,85.8,10,0.1,0.4,0,0.1,1.5,2.1,388,14.3,43.3,75,6.9,58.6,28.8,17.8,22.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21625.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21625.pdf
21626,24,2421626,B5,G6350,S,"21,626.00",24,"75,270,424.00","8,398,918.00",120,122,113,3,1,1,0,0,0,2,94.2,2.5,0.8,0.8,0,0,0,1.7,31,25.8,52.7,19,15.6,48.3,47.3,8.3,27.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21626.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21626.pdf
21627,24,2421627,B5,G6350,S,"21,627.00",24,"3,633,354.00","525,536.00",18,27,18,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,5,27.8,58.3,1,3.7,30,62.5,20,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21627.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21627.pdf
21628,24,2421628,B5,G6350,S,"21,628.00",24,"2,733,675.00","519,445.00",556,251,506,32,0,1,0,0,6,11,91,5.8,0,0.2,0,0,1.1,2,113,20.3,43,18,7.2,49.3,39.8,18.1,40.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21628.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21628.pdf
21629,24,2421629,B5,G6350,S,"21,629.00",24,"214,651,886.00","6,377,906.00","9,555.00","3,897.00","7,835.00","1,240.00",34,59,2,12,164,209,82,13,0.4,0.6,0,0.1,1.7,2.2,"1,484.00",15.5,40.2,315,8.1,52.3,27.5,27.9,32.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21629.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21629.pdf
21631,24,2421631,B5,G6350,S,"21,631.00",24,"67,544,406.00","10,718,158.00","2,731.00","1,216.00","2,405.00",234,3,20,0,0,19,50,88.1,8.6,0.1,0.7,0,0,0.7,1.8,474,17.4,44.4,79,6.5,56.9,33.4,14.4,20.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21631.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21631.pdf
21632,24,2421632,B5,G6350,S,"21,632.00",24,"191,895,132.00","1,298,240.00","6,353.00","2,742.00","4,458.00","1,523.00",12,59,0,12,115,174,70.2,24,0.2,0.9,0,0.2,1.8,2.7,891,14,39.2,232,8.5,41.3,35,36.4,49.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21632.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21632.pdf
21634,24,2421634,B5,G6350,S,"21,634.00",24,"12,200,561.00","20,822,861.00",305,307,287,2,0,0,0,0,3,13,94.1,0.7,0,0,0,0,1,4.3,93,30.5,51.9,53,17.3,53.6,40.5,10,23.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21634.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21634.pdf
21635,24,2421635,B5,G6350,S,"21,635.00",24,"79,654,483.00","4,063,543.00","2,098.00","1,034.00","1,855.00",90,3,9,0,2,16,123,88.4,4.3,0.1,0.4,0,0.1,0.8,5.9,396,18.9,46.1,57,5.5,53.2,33.8,19.6,20.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21635.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21635.pdf
21636,24,2421636,B5,G6350,S,"21,636.00",24,"57,175,453.00","156,310.00","1,186.00",486,"1,036.00",83,3,2,0,0,9,53,87.4,7,0.3,0.2,0,0,0.8,4.5,159,13.4,41.1,43,8.8,55.7,32,18,32.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21636.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21636.pdf
21638,24,2421638,B5,G6350,S,"21,638.00",24,"25,480,164.00","14,298,968.00","4,934.00","2,191.00","3,855.00",696,15,71,0,4,88,205,78.1,14.1,0.3,1.4,0,0.1,1.8,4.2,813,16.5,43.4,148,6.8,64.1,20.2,19.7,25.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21638.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21638.pdf
21639,24,2421639,B5,G6350,S,"21,639.00",24,"85,021,451.00","341,767.00","4,408.00","1,779.00","3,686.00",358,13,24,0,0,84,243,83.6,8.1,0.3,0.5,0,0,1.9,5.5,501,11.4,35.9,141,7.9,54.3,24.2,28.4,31.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21639.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21639.pdf
21640,24,2421640,B5,G6350,S,"21,640.00",24,"71,646,341.00","185,174.00","1,632.00",651,"1,390.00",77,2,8,0,1,24,130,85.2,4.7,0.1,0.5,0,0.1,1.5,8,190,11.6,38.7,44,6.8,54.7,31.5,20.1,32.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21640.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21640.pdf
21641,24,2421641,B5,G6350,S,"21,641.00",24,"233,483.00","6,165.00",117,55,115,2,0,0,0,0,0,0,98.3,1.7,0,0,0,0,0,0,14,12,37.9,2,3.6,49,16.7,41.2,37.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21641.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21641.pdf
21643,24,2421643,B5,G6350,S,"21,643.00",24,"123,412,463.00","5,326,122.00","5,979.00","2,576.00","3,677.00","1,889.00",19,53,0,3,115,223,61.5,31.6,0.3,0.9,0,0.1,1.9,3.7,783,13.1,40.2,247,9.6,57,26.1,22.9,42.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21643.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21643.pdf
21644,24,2421644,B5,G6350,S,"21,644.00",24,"11,140,680.00",0,111,41,93,1,0,0,0,0,0,17,83.8,0.9,0,0,0,0,0,15.3,13,11.7,34.5,3,7.3,60.5,30.3,13.2,20.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21644.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21644.pdf
21645,24,2421645,B5,G6350,S,"21,645.00",24,"98,637,796.00","7,812,552.00","1,039.00",594,814,40,0,2,0,0,10,173,78.3,3.8,0,0.2,0,0,1,16.7,221,21.3,44.8,56,9.4,46.6,39.9,22.4,29.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21645.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21645.pdf
21647,24,2421647,B5,G6350,S,"21,647.00",24,"8,550,190.00","1,633,573.00",289,184,247,36,0,0,0,0,4,2,85.5,12.5,0,0,0,0,1.4,0.7,81,28,54.9,25,13.6,47.8,41.8,17.9,44.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21647.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21647.pdf
21648,24,2421648,B5,G6350,S,"21,648.00",24,"45,632,511.00","10,852,813.00",255,150,223,26,0,2,0,0,2,2,87.5,10.2,0,0.8,0,0,0.8,0.8,65,25.5,49.4,13,8.7,50.5,41.4,13.9,37.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21648.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21648.pdf
21649,24,2421649,B5,G6350,S,"21,649.00",24,"44,118,028.00","24,292.00","1,858.00",593,961,33,7,3,6,2,21,825,51.7,1.8,0.4,0.2,0.3,0.1,1.1,44.4,129,6.9,29,77,13,39.3,39,35.6,30.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21649.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21649.pdf
21650,24,2421650,B5,G6350,S,"21,650.00",24,"28,668,471.00","135,772.00",238,98,180,6,2,3,0,0,9,38,75.6,2.5,0.8,1.3,0,0,3.8,16,33,13.9,37,17,17.3,48.8,32.8,27.5,26.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21650.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21650.pdf
21651,24,2421651,B5,G6350,S,"21,651.00",24,"100,850,231.00","1,988,812.00","2,898.00","1,234.00","2,331.00",305,6,25,3,3,34,191,80.4,10.5,0.2,0.9,0.1,0.1,1.2,6.6,395,13.6,40.2,120,9.7,59,26.2,20.1,34.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21651.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21651.pdf
21652,24,2421652,B5,G6350,S,"21,652.00",24,"1,552,741.00","2,728,348.00",183,154,177,0,0,0,0,0,2,4,96.7,0,0,0,0,0,1.1,2.2,81,44.3,62.3,16,10.4,48.9,42.3,15.2,21.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21652.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21652.pdf
21653,24,2421653,B5,G6350,S,"21,653.00",24,"450,150.00","123,701.00",114,77,107,4,0,0,0,0,1,2,93.9,3.5,0,0,0,0,0.9,1.8,27,23.7,52,10,13,44.4,45.5,18.5,44.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21653.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21653.pdf
21654,24,2421654,B5,G6350,S,"21,654.00",24,"28,411,730.00","9,892,865.00","1,236.00",974,"1,139.00",65,0,6,0,0,18,8,92.2,5.3,0,0.5,0,0,1.5,0.6,455,36.8,59.6,89,9.1,46.1,43.5,18.5,12,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21654.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21654.pdf
21655,24,2421655,B5,G6350,S,"21,655.00",24,"137,258,137.00","8,649,488.00","5,009.00","2,165.00","4,185.00",638,12,27,0,3,75,69,83.5,12.7,0.2,0.5,0,0.1,1.5,1.4,758,15.1,42.5,195,9,58.4,29.4,17.2,29,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21655.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21655.pdf
21657,24,2421657,B5,G6350,S,"21,657.00",24,"64,427,733.00","44,319.00",777,310,665,77,0,7,0,0,10,18,85.6,9.9,0,0.9,0,0,1.3,2.3,97,12.5,42.2,17,5.5,57.6,29.1,18.8,25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21657.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21657.pdf
21658,24,2421658,B5,G6350,S,"21,658.00",24,"101,617,928.00","18,832,105.00","3,862.00","1,679.00","3,454.00",240,10,22,3,2,39,92,89.4,6.2,0.3,0.6,0.1,0.1,1,2.4,760,19.7,47,76,4.5,62.8,27.7,13.1,17.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21658.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21658.pdf
21659,24,2421659,B5,G6350,S,"21,659.00",24,"124,235,193.00","3,349,072.00","1,551.00",702,"1,301.00",177,0,7,0,0,22,44,83.9,11.4,0,0.5,0,0,1.4,2.8,255,16.4,44.5,65,9.3,47.6,43.4,15.9,41.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21659.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21659.pdf
21660,24,2421660,B5,G6350,S,"21,660.00",24,"85,694,837.00","384,407.00","4,063.00","1,557.00","3,110.00",652,12,12,1,4,83,189,76.5,16,0.3,0.3,0,0.1,2,4.7,436,10.7,35.8,123,7.9,58.8,20.4,26.1,32.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21660.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21660.pdf
21661,24,2421661,B5,G6350,S,"21,661.00",24,"83,954,615.00","56,944,688.00","2,653.00","1,792.00","2,334.00",237,2,4,0,0,37,39,88,8.9,0.1,0.2,0,0,1.4,1.5,722,27.2,52.3,154,8.6,45.8,40.6,22.9,36.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21661.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21661.pdf
21662,24,2421662,B5,G6350,S,"21,662.00",24,"20,686,112.00","14,697,516.00",555,422,443,95,0,2,0,0,3,12,79.8,17.1,0,0.4,0,0,0.5,2.2,177,31.9,56.5,40,9.5,50.6,38.1,18.3,19.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21662.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21662.pdf
